Education,Education-Num,Matrital-Status,Native-Country,Occupation,Race,Relationship,Sex,Workclass,Age,Capital-Gain,Capital-Loss,Fnlwgt,Hours-Per-Week,Number of Records
HS-grad,9,Divorced,United-States,Sales,White,Unmarried,Female,Private,38,0,0,33397,40,1
HS-grad,9,Divorced,United-States,Sales,White,Unmarried,Female,Private,39,0,0,481060,40,1
HS-grad,9,Divorced,United-States,Sales,White,Unmarried,Female,Private,40,0,0,213019,30,1
HS-grad,9,Divorced,United-States,Sales,White,Unmarried,Female,Private,41,0,0,101290,40,1
HS-grad,9,Divorced,United-States,Sales,White,Unmarried,Female,Private,46,0,0,173613,30,1
HS-grad,9,Divorced,United-States,Sales,White,Unmarried,Female,Private,47,0,0,171807,45,1
HS-grad,9,Divorced,United-States,Sales,White,Unmarried,Female,Private,47,0,0,207207,45,1
HS-grad,9,Divorced,United-States,Sales,White,Unmarried,Female,Private,48,0,0,185039,30,1
HS-grad,9,Divorced,United-States,Sales,White,Unmarried,Female,Private,50,0,0,98228,45,1
HS-grad,9,Divorced,United-States,Sales,White,Unmarried,Female,Private,50,0,0,192964,65,1
HS-grad,9,Divorced,United-States,Sales,White,Unmarried,Female,Private,51,0,0,102904,43,1
HS-grad,9,Divorced,United-States,Sales,White,Unmarried,Female,Private,52,0,0,177465,25,1
HS-grad,9,Divorced,United-States,Sales,White,Unmarried,Female,Private,54,0,0,143865,35,1
HS-grad,9,Divorced,United-States,Sales,White,Unmarried,Female,Private,57,0,0,169071,28,1
HS-grad,9,Divorced,United-States,Sales,White,Unmarried,Female,Private,58,0,0,372181,40,1
HS-grad,9,Divorced,United-States,Sales,White,Unmarried,Female,Private,59,0,1762,226922,30,1
HS-grad,9,Divorced,United-States,Sales,White,Unmarried,Female,Private,61,0,2754,29059,25,1
Some-college,10,Divorced,Cuba,Sales,White,Unmarried,Female,Private,46,0,0,213408,40,1
Some-college,10,Divorced,England,Sales,White,Unmarried,Female,Private,49,0,0,50748,55,1
Some-college,10,Divorced,Italy,Sales,White,Unmarried,Female,Private,51,0,0,203435,40,1
Some-college,10,Divorced,Peru,Sales,White,Unmarried,Female,Private,27,0,0,506436,40,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,28,0,0,37821,45,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,29,0,0,101597,54,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,32,0,0,137875,30,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,32,0,0,174215,40,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,35,0,0,270059,30,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,35,0,0,169638,36,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,36,0,0,163290,40,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,36,0,0,194630,40,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,38,0,0,37028,38,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,39,0,0,52645,40,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,39,0,0,301568,40,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,41,0,0,93885,48,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,42,0,0,222011,43,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,43,0,0,142444,55,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,44,0,0,84535,48,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,44,0,1408,225263,46,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,45,0,0,168837,40,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,46,0,0,154940,40,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,46,0,0,171807,40,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,46,0,0,247286,40,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,47,0,0,162494,45,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,47,0,0,236805,60,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,52,0,0,222107,50,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Private,54,0,0,240542,48,1
Assoc-voc,11,Divorced,United-States,Sales,White,Unmarried,Female,Private,36,0,0,133974,40,1
Assoc-voc,11,Divorced,United-States,Sales,White,Unmarried,Female,Private,37,0,0,39606,40,1
Assoc-voc,11,Divorced,United-States,Sales,White,Unmarried,Female,Private,39,0,0,30269,40,1
Assoc-voc,11,Divorced,United-States,Sales,White,Unmarried,Female,Private,46,0,0,136162,40,1
Assoc-voc,11,Divorced,United-States,Sales,White,Unmarried,Female,Private,49,0,0,199448,40,1
Assoc-acdm,12,Divorced,United-States,Sales,White,Unmarried,Female,Private,29,3418,0,286452,40,1
Assoc-acdm,12,Divorced,United-States,Sales,White,Unmarried,Female,Private,31,0,880,323069,45,1
Assoc-acdm,12,Divorced,United-States,Sales,White,Unmarried,Female,Private,36,0,0,111268,40,1
Assoc-acdm,12,Divorced,United-States,Sales,White,Unmarried,Female,Private,40,0,0,197919,40,1
Assoc-acdm,12,Divorced,United-States,Sales,White,Unmarried,Female,Private,46,0,0,171095,38,1
Bachelors,13,Divorced,United-States,Sales,White,Unmarried,Female,Private,32,0,0,210541,30,1
Bachelors,13,Divorced,United-States,Sales,White,Unmarried,Female,Private,38,1151,0,275338,40,1
Bachelors,13,Divorced,United-States,Sales,White,Unmarried,Female,Private,39,0,0,706180,40,1
Bachelors,13,Divorced,United-States,Sales,White,Unmarried,Female,Private,44,0,0,201924,35,1
Bachelors,13,Divorced,United-States,Sales,White,Unmarried,Female,Private,47,0,0,216734,50,1
Bachelors,13,Divorced,United-States,Sales,White,Unmarried,Female,Private,48,0,0,119199,44,1
Doctorate,16,Divorced,United-States,Sales,White,Unmarried,Female,Private,41,0,0,65372,50,1
7th-8th,4,Divorced,Columbia,Tech-support,White,Unmarried,Female,Private,62,0,0,131117,38,1
7th-8th,4,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,35,0,0,194690,40,1
HS-grad,9,Divorced,Germany,Tech-support,White,Unmarried,Female,Private,22,0,0,24896,30,1
HS-grad,9,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,32,1471,0,197457,38,1
HS-grad,9,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,35,0,0,108946,40,1
HS-grad,9,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,35,0,0,308945,75,1
HS-grad,9,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,39,0,0,300760,50,1
HS-grad,9,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,40,0,0,218903,40,1
HS-grad,9,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,40,0,0,346964,40,1
HS-grad,9,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,41,0,0,444743,40,1
HS-grad,9,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,59,0,0,109015,40,1
HS-grad,9,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,60,2597,0,163729,40,1
Some-college,10,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,33,0,0,213813,40,1
Some-college,10,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,36,0,0,182013,40,1
Some-college,10,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,37,0,0,166339,40,1
Some-college,10,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,37,0,0,184556,40,1
Some-college,10,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,38,0,0,206535,50,1
Some-college,10,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,40,0,213,65866,40,1
Some-college,10,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,43,0,0,177083,30,1
Some-college,10,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,47,0,0,221666,40,1
Assoc-voc,11,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,31,0,0,145791,40,1
Assoc-voc,11,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,34,0,0,172579,40,1
Assoc-voc,11,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,36,0,0,98515,40,1
Assoc-voc,11,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,37,0,0,267086,52,1
Assoc-voc,11,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,42,0,0,190767,40,1
Assoc-voc,11,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,49,0,0,148475,40,1
Assoc-acdm,12,Divorced,?,Tech-support,White,Unmarried,Female,Private,45,0,0,129387,40,1
Assoc-acdm,12,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,44,0,0,173382,40,1
Bachelors,13,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,39,0,0,75891,40,1
Bachelors,13,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,49,0,0,195956,35,1
Bachelors,13,Divorced,United-States,Tech-support,White,Unmarried,Female,Private,51,0,0,194259,40,1
HS-grad,9,Divorced,Germany,Transport-moving,White,Unmarried,Female,Private,34,1151,0,130369,48,1
HS-grad,9,Divorced,United-States,Transport-moving,White,Unmarried,Female,Private,33,0,0,399088,40,1
HS-grad,9,Divorced,United-States,Transport-moving,White,Unmarried,Female,Private,45,0,0,191914,55,1
Assoc-acdm,12,Divorced,United-States,Transport-moving,White,Unmarried,Female,Private,40,0,0,106698,40,1
HS-grad,9,Divorced,?,Adm-clerical,White,Unmarried,Female,Self-emp-inc,40,0,0,209344,15,1
HS-grad,9,Divorced,United-States,Adm-clerical,White,Unmarried,Female,Self-emp-inc,30,0,0,224498,40,1
HS-grad,9,Divorced,United-States,Exec-managerial,White,Unmarried,Female,Self-emp-inc,49,0,0,257764,40,1
HS-grad,9,Divorced,United-States,Exec-managerial,White,Unmarried,Female,Self-emp-inc,50,0,0,174855,40,1
Some-college,10,Divorced,United-States,Exec-managerial,White,Unmarried,Female,Self-emp-inc,46,2036,0,110702,60,1
Some-college,10,Divorced,United-States,Exec-managerial,White,Unmarried,Female,Self-emp-inc,49,0,0,109705,32,1
Some-college,10,Divorced,United-States,Exec-managerial,White,Unmarried,Female,Self-emp-inc,51,0,0,139127,50,1
Bachelors,13,Divorced,United-States,Exec-managerial,White,Unmarried,Female,Self-emp-inc,70,0,0,131699,55,1
HS-grad,9,Divorced,United-States,Sales,White,Unmarried,Female,Self-emp-inc,55,0,0,209569,50,1
Assoc-voc,11,Divorced,United-States,Sales,White,Unmarried,Female,Self-emp-inc,34,0,0,28984,40,1
Assoc-voc,11,Divorced,United-States,Sales,White,Unmarried,Female,Self-emp-inc,45,0,0,178344,30,1
Assoc-acdm,12,Divorced,United-States,Sales,White,Unmarried,Female,Self-emp-inc,40,1506,0,50644,40,1
Bachelors,13,Divorced,United-States,Sales,White,Unmarried,Female,Self-emp-inc,34,0,0,200689,40,1
Masters,14,Divorced,United-States,Sales,White,Unmarried,Female,Self-emp-inc,45,25236,0,191776,42,1
Some-college,10,Divorced,United-States,Adm-clerical,White,Unmarried,Female,Self-emp-not-inc,34,0,0,168906,50,1
Some-college,10,Divorced,United-States,Adm-clerical,White,Unmarried,Female,Self-emp-not-inc,43,0,0,147099,36,1
HS-grad,9,Divorced,United-States,Craft-repair,White,Unmarried,Female,Self-emp-not-inc,60,0,0,261119,40,1
11th,7,Divorced,United-States,Exec-managerial,White,Unmarried,Female,Self-emp-not-inc,35,0,0,264627,84,1
11th,7,Divorced,United-States,Exec-managerial,White,Unmarried,Female,Self-emp-not-inc,47,0,0,229394,55,1
HS-grad,9,Divorced,United-States,Exec-managerial,White,Unmarried,Female,Self-emp-not-inc,32,0,0,62272,40,1
HS-grad,9,Divorced,United-States,Exec-managerial,White,Unmarried,Female,Self-emp-not-inc,44,0,0,47818,60,1
HS-grad,9,Divorced,United-States,Exec-managerial,White,Unmarried,Female,Self-emp-not-inc,49,14084,0,107597,30,1
Some-college,10,Divorced,United-States,Exec-managerial,White,Unmarried,Female,Self-emp-not-inc,37,0,0,76855,40,1
Some-college,10,Divorced,United-States,Exec-managerial,White,Unmarried,Female,Self-emp-not-inc,46,0,0,199596,50,1
Assoc-acdm,12,Divorced,United-States,Exec-managerial,White,Unmarried,Female,Self-emp-not-inc,51,0,0,88528,99,1
Bachelors,13,Divorced,United-States,Exec-managerial,White,Unmarried,Female,Self-emp-not-inc,35,0,0,95455,55,1
Masters,14,Divorced,United-States,Exec-managerial,White,Unmarried,Female,Self-emp-not-inc,43,0,0,292175,45,1
Masters,14,Divorced,United-States,Exec-managerial,White,Unmarried,Female,Self-emp-not-inc,44,0,0,109684,40,1
HS-grad,9,Divorced,United-States,Farming-fishing,White,Unmarried,Female,Self-emp-not-inc,58,0,0,99141,10,1
Some-college,10,Divorced,United-States,Farming-fishing,White,Unmarried,Female,Self-emp-not-inc,54,10520,0,278230,30,1
7th-8th,4,Divorced,United-States,Other-service,White,Unmarried,Female,Self-emp-not-inc,56,0,0,385632,40,1
12th,8,Divorced,United-States,Other-service,White,Unmarried,Female,Self-emp-not-inc,28,0,0,33035,30,1
HS-grad,9,Divorced,United-States,Other-service,White,Unmarried,Female,Self-emp-not-inc,23,0,0,289116,50,1
HS-grad,9,Divorced,United-States,Other-service,White,Unmarried,Female,Self-emp-not-inc,30,0,0,188798,40,1
HS-grad,9,Divorced,United-States,Other-service,White,Unmarried,Female,Self-emp-not-inc,41,0,0,226505,40,1
HS-grad,9,Divorced,United-States,Other-service,White,Unmarried,Female,Self-emp-not-inc,49,0,0,241753,40,1
Some-college,10,Divorced,United-States,Other-service,White,Unmarried,Female,Self-emp-not-inc,30,0,0,123397,30,1
Some-college,10,Divorced,United-States,Other-service,White,Unmarried,Female,Self-emp-not-inc,38,0,0,172342,40,1
Some-college,10,Divorced,United-States,Other-service,White,Unmarried,Female,Self-emp-not-inc,47,0,0,213745,45,1
Assoc-voc,11,Divorced,United-States,Other-service,White,Unmarried,Female,Self-emp-not-inc,33,0,0,67482,99,1
Assoc-voc,11,Divorced,United-States,Other-service,White,Unmarried,Female,Self-emp-not-inc,38,0,0,65716,40,1
Assoc-voc,11,Divorced,United-States,Other-service,White,Unmarried,Female,Self-emp-not-inc,41,0,0,97277,10,1
Masters,14,Divorced,United-States,Other-service,White,Unmarried,Female,Self-emp-not-inc,43,0,0,118261,30,1
Bachelors,13,Divorced,United-States,Prof-specialty,White,Unmarried,Female,Self-emp-not-inc,34,0,0,304622,50,1
Masters,14,Divorced,United-States,Prof-specialty,White,Unmarried,Female,Self-emp-not-inc,41,0,0,141327,35,1
Masters,14,Divorced,United-States,Prof-specialty,White,Unmarried,Female,Self-emp-not-inc,60,0,0,44915,10,1
Masters,14,Divorced,United-States,Prof-specialty,White,Unmarried,Female,Self-emp-not-inc,62,0,0,122246,32,1
Prof-school,15,Divorced,United-States,Prof-specialty,White,Unmarried,Female,Self-emp-not-inc,42,7430,0,199143,44,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Self-emp-not-inc,36,0,0,36425,35,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Self-emp-not-inc,43,0,880,336763,42,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Self-emp-not-inc,51,0,0,218311,50,1
Some-college,10,Divorced,United-States,Sales,White,Unmarried,Female,Self-emp-not-inc,56,0,0,78090,48,1
Assoc-acdm,12,Divorced,United-States,Sales,White,Unmarried,Female,Self-emp-not-inc,36,0,0,28738,35,1
Masters,14,Divorced,United-States,Sales,White,Unmarried,Female,Self-emp-not-inc,56,0,2339,346635,60,1
HS-grad,9,Divorced,Puerto-Rico,Adm-clerical,White,Unmarried,Female,State-gov,37,0,0,270278,12,1
HS-grad,9,Divorced,United-States,Adm-clerical,White,Unmarried,Female,State-gov,37,0,0,48211,35,1
HS-grad,9,Divorced,United-States,Adm-clerical,White,Unmarried,Female,State-gov,38,0,0,346766,40,1
HS-grad,9,Divorced,United-States,Adm-clerical,White,Unmarried,Female,State-gov,39,0,0,85874,40,1
HS-grad,9,Divorced,United-States,Adm-clerical,White,Unmarried,Female,State-gov,43,0,0,143939,50,1
HS-grad,9,Divorced,United-States,Adm-clerical,White,Unmarried,Female,State-gov,46,0,0,162852,40,1
HS-grad,9,Divorced,United-States,Adm-clerical,White,Unmarried,Female,State-gov,47,1831,0,108890,38,1
HS-grad,9,Divorced,United-States,Adm-clerical,White,Unmarried,Female,State-gov,50,0,0,54709,46,1
HS-grad,9,Divorced,United-States,Adm-clerical,White,Unmarried,Female,State-gov,58,0,0,300623,40,1
Some-college,10,Divorced,United-States,Adm-clerical,White,Unmarried,Female,State-gov,31,0,0,161631,40,1
Some-college,10,Divorced,United-States,Adm-clerical,White,Unmarried,Female,State-gov,33,0,0,111994,45,1
Some-college,10,Divorced,United-States,Adm-clerical,White,Unmarried,Female,State-gov,35,0,0,35626,15,1
Some-college,10,Divorced,United-States,Adm-clerical,White,Unmarried,Female,State-gov,39,0,0,24721,35,1
Some-college,10,Divorced,United-States,Adm-clerical,White,Unmarried,Female,State-gov,40,0,0,59460,38,1
Some-college,10,Divorced,United-States,Adm-clerical,White,Unmarried,Female,State-gov,43,0,0,182254,40,1
Some-college,10,Divorced,United-States,Adm-clerical,White,Unmarried,Female,State-gov,46,0,0,314770,48,1
Some-college,10,Divorced,United-States,Adm-clerical,White,Unmarried,Female,State-gov,49,0,0,72619,50,1
Some-college,10,Divorced,United-States,Adm-clerical,White,Unmarried,Female,State-gov,51,0,0,94174,35,1
Assoc-voc,11,Divorced,United-States,Adm-clerical,White,Unmarried,Female,State-gov,46,0,0,295791,38,1
Bachelors,13,Divorced,United-States,Adm-clerical,White,Unmarried,Female,State-gov,48,0,0,50748,40,1
HS-grad,9,Divorced,United-States,Exec-managerial,White,Unmarried,Female,State-gov,41,0,0,29324,45,1
HS-grad,9,Divorced,United-States,Exec-managerial,White,Unmarried,Female,State-gov,43,0,0,114508,40,1
HS-grad,9,Divorced,United-States,Exec-managerial,White,Unmarried,Female,State-gov,43,0,0,167298,40,1
HS-grad,9,Divorced,United-States,Exec-managerial,White,Unmarried,Female,State-gov,45,0,0,154117,38,1
HS-grad,9,Divorced,United-States,Exec-managerial,White,Unmarried,Female,State-gov,49,0,0,154493,44,1
Masters,14,Divorced,United-States,Exec-managerial,White,Unmarried,Female,State-gov,31,0,0,100863,50,1
Masters,14,Divorced,United-States,Exec-managerial,White,Unmarried,Female,State-gov,40,1506,0,150874,40,1
Masters,14,Divorced,United-States,Exec-managerial,White,Unmarried,Female,State-gov,45,0,0,110311,40,1
11th,7,Divorced,United-States,Other-service,White,Unmarried,Female,State-gov,26,0,0,177035,40,1
12th,8,Divorced,United-States,Other-service,White,Unmarried,Female,State-gov,57,0,0,109015,40,1
HS-grad,9,Divorced,United-States,Other-service,White,Unmarried,Female,State-gov,38,2036,0,103925,20,1
HS-grad,9,Divorced,United-States,Prof-specialty,White,Unmarried,Female,State-gov,35,0,0,225385,40,1
Some-college,10,Divorced,United-States,Prof-specialty,White,Unmarried,Female,State-gov,37,0,0,173780,30,1
Some-college,10,Divorced,United-States,Prof-specialty,White,Unmarried,Female,State-gov,45,0,0,263982,40,1
Some-college,10,Divorced,United-States,Prof-specialty,White,Unmarried,Female,State-gov,46,1506,0,106705,50,1
Some-college,10,Divorced,United-States,Prof-specialty,White,Unmarried,Female,State-gov,57,0,0,141459,40,1
Assoc-voc,11,Divorced,United-States,Prof-specialty,White,Unmarried,Female,State-gov,48,0,0,183486,56,1
Assoc-voc,11,Divorced,United-States,Prof-specialty,White,Unmarried,Female,State-gov,51,0,0,77905,40,1
Assoc-acdm,12,Divorced,United-States,Prof-specialty,White,Unmarried,Female,State-gov,37,0,0,108293,38,1
Bachelors,13,Divorced,United-States,Prof-specialty,White,Unmarried,Female,State-gov,36,0,0,166697,40,1
Bachelors,13,Divorced,United-States,Prof-specialty,White,Unmarried,Female,State-gov,43,1506,0,241506,36,1
Masters,14,Divorced,United-States,Prof-specialty,White,Unmarried,Female,State-gov,40,0,0,50093,20,1
Masters,14,Divorced,United-States,Prof-specialty,White,Unmarried,Female,State-gov,41,0,0,132551,35,1
Masters,14,Divorced,United-States,Prof-specialty,White,Unmarried,Female,State-gov,48,0,0,148306,40,1
Masters,14,Divorced,United-States,Prof-specialty,White,Unmarried,Female,State-gov,50,0,0,307392,40,1
Prof-school,15,Divorced,United-States,Prof-specialty,White,Unmarried,Female,State-gov,42,0,0,404573,40,1
Prof-school,15,Divorced,United-States,Prof-specialty,White,Unmarried,Female,State-gov,45,0,0,319666,43,1
Doctorate,16,Divorced,United-States,Prof-specialty,White,Unmarried,Female,State-gov,57,0,0,19520,50,1
HS-grad,9,Divorced,United-States,Protective-serv,White,Unmarried,Female,State-gov,35,0,0,94529,40,1
Some-college,10,Divorced,United-States,Protective-serv,White,Unmarried,Female,State-gov,32,0,1726,213389,38,1
HS-grad,9,Divorced,United-States,Tech-support,White,Unmarried,Female,State-gov,45,0,0,208049,40,1
Some-college,10,Divorced,United-States,Tech-support,White,Unmarried,Female,State-gov,35,0,0,483530,40,1
Assoc-voc,11,Divorced,United-States,Tech-support,White,Unmarried,Female,State-gov,45,0,0,37672,40,1
11th,7,Divorced,United-States,Transport-moving,White,Unmarried,Female,State-gov,40,0,0,456110,52,1
HS-grad,9,Divorced,United-States,Transport-moving,White,Unmarried,Female,State-gov,34,0,0,240283,40,1
HS-grad,9,Married-spouse-absent,United-States,?,White,Unmarried,Female,?,48,0,0,63466,32,1
Assoc-voc,11,Married-spouse-absent,United-States,?,White,Unmarried,Female,?,49,0,0,558183,40,1
HS-grad,9,Married-spouse-absent,United-States,Adm-clerical,White,Unmarried,Female,Federal-gov,48,1471,0,497486,40,1
Some-college,10,Married-spouse-absent,United-States,Adm-clerical,White,Unmarried,Female,Local-gov,28,0,0,179759,40,1
Doctorate,16,Married-spouse-absent,United-States,Prof-specialty,White,Unmarried,Female,Local-gov,44,0,0,231793,38,1
10th,6,Married-spouse-absent,Mexico,Adm-clerical,White,Unmarried,Female,Private,29,0,0,84366,40,1
HS-grad,9,Married-spouse-absent,Jamaica,Adm-clerical,White,Unmarried,Female,Private,27,0,0,219371,40,1
HS-grad,9,Married-spouse-absent,Puerto-Rico,Adm-clerical,White,Unmarried,Female,Private,59,0,0,426001,20,1
HS-grad,9,Married-spouse-absent,United-States,Adm-clerical,White,Unmarried,Female,Private,36,0,0,133655,40,1
HS-grad,9,Married-spouse-absent,United-States,Adm-clerical,White,Unmarried,Female,Private,40,0,0,31621,40,1
HS-grad,9,Married-spouse-absent,United-States,Adm-clerical,White,Unmarried,Female,Private,45,0,0,190088,30,1
Some-college,10,Married-spouse-absent,United-States,Adm-clerical,White,Unmarried,Female,Private,25,0,0,64860,22,1
Some-college,10,Married-spouse-absent,United-States,Adm-clerical,White,Unmarried,Female,Private,26,0,0,219815,40,1
Assoc-voc,11,Married-spouse-absent,United-States,Adm-clerical,White,Unmarried,Female,Private,34,0,974,32528,40,1
Bachelors,13,Married-spouse-absent,United-States,Adm-clerical,White,Unmarried,Female,Private,43,0,0,342567,40,1
Masters,14,Married-spouse-absent,United-States,Adm-clerical,White,Unmarried,Female,Private,49,0,0,178749,40,1
HS-grad,9,Married-spouse-absent,United-States,Craft-repair,White,Unmarried,Female,Private,38,0,0,289148,40,1
HS-grad,9,Married-spouse-absent,United-States,Craft-repair,White,Unmarried,Female,Private,41,0,0,193626,40,1
Some-college,10,Married-spouse-absent,United-States,Craft-repair,White,Unmarried,Female,Private,44,1506,0,239723,45,1
Bachelors,13,Married-spouse-absent,Ireland,Craft-repair,White,Unmarried,Female,Private,55,0,0,90414,55,1
HS-grad,9,Married-spouse-absent,United-States,Exec-managerial,White,Unmarried,Female,Private,50,0,0,240612,10,1
Some-college,10,Married-spouse-absent,Puerto-Rico,Exec-managerial,White,Unmarried,Female,Private,47,0,0,216096,35,1
Some-college,10,Married-spouse-absent,United-States,Exec-managerial,White,Unmarried,Female,Private,30,0,0,118056,45,1
Some-college,10,Married-spouse-absent,United-States,Exec-managerial,White,Unmarried,Female,Private,64,0,0,169482,40,1
Bachelors,13,Married-spouse-absent,United-States,Exec-managerial,White,Unmarried,Female,Private,35,0,0,28160,40,1
Bachelors,13,Married-spouse-absent,United-States,Exec-managerial,White,Unmarried,Female,Private,44,0,0,271792,40,1
5th-6th,3,Married-spouse-absent,Puerto-Rico,Handlers-cleaners,White,Unmarried,Female,Private,66,0,0,142723,40,1
11th,7,Married-spouse-absent,United-States,Handlers-cleaners,White,Unmarried,Female,Private,30,0,0,399522,40,1
HS-grad,9,Married-spouse-absent,United-States,Handlers-cleaners,White,Unmarried,Female,Private,50,0,0,74879,40,1
1st-4th,2,Married-spouse-absent,Dominican-Republic,Machine-op-inspct,White,Unmarried,Female,Private,40,0,0,153799,40,1
7th-8th,4,Married-spouse-absent,Puerto-Rico,Machine-op-inspct,White,Unmarried,Female,Private,36,2977,0,275653,40,1
HS-grad,9,Married-spouse-absent,United-States,Machine-op-inspct,White,Unmarried,Female,Private,34,0,0,37380,40,1
HS-grad,9,Married-spouse-absent,United-States,Machine-op-inspct,White,Unmarried,Female,Private,44,0,0,197389,40,1
5th-6th,3,Married-spouse-absent,Mexico,Other-service,White,Unmarried,Female,Private,50,0,0,263200,34,1
7th-8th,4,Married-spouse-absent,United-States,Other-service,White,Unmarried,Female,Private,47,0,0,121958,30,1
11th,7,Married-spouse-absent,United-States,Other-service,White,Unmarried,Female,Private,28,0,0,33374,35,1
HS-grad,9,Married-spouse-absent,United-States,Other-service,White,Unmarried,Female,Private,27,0,0,42696,40,1
HS-grad,9,Married-spouse-absent,United-States,Other-service,White,Unmarried,Female,Private,32,0,0,128016,20,1
HS-grad,9,Married-spouse-absent,United-States,Other-service,White,Unmarried,Female,Private,34,0,0,146980,65,1
HS-grad,9,Married-spouse-absent,United-States,Other-service,White,Unmarried,Female,Private,36,0,0,205359,25,1
HS-grad,9,Married-spouse-absent,United-States,Other-service,White,Unmarried,Female,Private,51,0,0,57698,40,1
HS-grad,9,Married-spouse-absent,United-States,Other-service,White,Unmarried,Female,Private,60,0,0,184242,20,1
Bachelors,13,Married-spouse-absent,United-States,Other-service,White,Unmarried,Female,Private,33,0,0,31481,24,1
7th-8th,4,Married-spouse-absent,Guatemala,Priv-house-serv,White,Unmarried,Female,Private,46,0,1594,213611,24,1
Assoc-voc,11,Married-spouse-absent,United-States,Prof-specialty,White,Unmarried,Female,Private,35,0,0,200426,44,1
Bachelors,13,Married-spouse-absent,United-States,Prof-specialty,White,Unmarried,Female,Private,56,0,0,76281,40,1
HS-grad,9,Married-spouse-absent,Cuba,Sales,White,Unmarried,Female,Private,47,0,0,218435,20,1
HS-grad,9,Married-spouse-absent,United-States,Sales,White,Unmarried,Female,Private,27,0,0,253814,25,1
Some-college,10,Married-spouse-absent,United-States,Sales,White,Unmarried,Female,Private,25,0,0,35854,40,1
Some-college,10,Married-spouse-absent,United-States,Sales,White,Unmarried,Female,Private,46,0,0,292504,40,1
Bachelors,13,Married-spouse-absent,United-States,Sales,White,Unmarried,Female,Private,48,0,2472,121253,70,1
HS-grad,9,Married-spouse-absent,United-States,Other-service,White,Unmarried,Female,Self-emp-not-inc,58,0,0,197665,45,1
HS-grad,9,Married-spouse-absent,United-States,Exec-managerial,White,Unmarried,Female,State-gov,43,0,0,308498,40,1
Masters,14,Married-spouse-absent,United-States,Exec-managerial,White,Unmarried,Female,State-gov,52,4787,0,109600,44,1
HS-grad,9,Married-spouse-absent,United-States,Other-service,White,Unmarried,Female,State-gov,37,0,0,166744,20,1
